scenario	subject	issue	commit	idx	status	final	first crash	time to find first crash
BIC	mujs	166	3f71a1c	250905-2238	none	D	id:000000,time:0,execs:0,orig:TRIGGER_#166_3f71a1c_1_gpt-4o-2024-08-06_behave |	
BIC	mujs	166	3f71a1c	250905-2240	none	D	id:003443,src:003371,time:16882536,execs:4046485,op:havoc,rep:2,+cov |	
BIC	mujs	166	3f71a1c	250905-2242	none	N	 |	
BIC	mujs	166	3f71a1c	250905-2245	none	D	id:004073,src:002941,time:22158795,execs:5325046,op:havoc,rep:1,+cov |	
BIC	mujs	166	3f71a1c	250905-2247	none	N	 |	
BIC	mujs	166	3f71a1c	250905-2250	none	D	id:005167,src:002678+004317,time:72502467,execs:15794039,op:splice,rep:3,+cov |	
BIC	mujs	166	3f71a1c	250905-2252	none	D	id:004304,src:004063,time:30658650,execs:7354409,op:havoc,rep:1,+cov |	
BIC	mujs	166	3f71a1c	250905-2254	none	D	id:000651,src:000441,time:590912,execs:142228,op:havoc,rep:2,+cov |	
BIC	libxml2	535	9a82b94	250826-2134	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250826-2135	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250826-2136	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250826-2138	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250826-2139	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250903-1710	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250903-1712	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250903-1715	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250903-1717	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	535	9a82b94	250903-1719	bug_^global-buffer-overflow	B	id:000000,time:0,execs:0,orig:TRIGGER_#535_9a82b94_1_gpt-4o-2024-08-06_bug_^global-buffer-overflow	0.0
BIC	libxml2	550	7e3f469	250826-2134	none	D	id:003124,src:003106,time:27668818,execs:2430723,op:havoc,rep:3 |	
BIC	libxml2	550	7e3f469	250826-2135	none	D	id:002276,src:002145,time:9450407,execs:850291,op:havoc,rep:3 |	
BIC	libxml2	550	7e3f469	250826-2136	none	D	id:001905,src:001470,time:4307296,execs:409155,op:havoc,rep:2 |	
BIC	libxml2	550	7e3f469	250826-2138	none	D	id:002384,src:000234+002376,time:11948235,execs:1084201,op:splice,rep:8 |	
BIC	libxml2	550	7e3f469	250826-2139	none	D	id:003914,src:003913,time:55581364,execs:4398054,op:havoc,rep:2 |	
BIC	libxml2	550	7e3f469	250903-1710	none	D	id:003308,src:002712,time:37542890,execs:3635544,op:havoc,rep:1 |	
BIC	libxml2	550	7e3f469	250903-1712	none	D	id:002540,src:002529,time:13357044,execs:1300690,op:havoc,rep:2 |	
BIC	libxml2	550	7e3f469	250903-1715	none	D	id:003274,src:003203,time:39287460,execs:3789982,op:havoc,rep:1 |	
BIC	libxml2	550	7e3f469	250903-1717	none	D	id:001346,src:000004,time:3307145,execs:338228,op:havoc,rep:5,+cov |	
BIC	libxml2	550	7e3f469	250903-1719	none	D	id:001837,src:001740,time:6886564,execs:611417,op:havoc,rep:1,+cov |	
BIC	poppler	1282	3d35d20	250827-1951	bug_^heap-use-after-free	B	id:000000,sig:06,src:000000,time:24084,execs:1122,op:quick,pos:292	24084.0
BIC	poppler	1282	3d35d20	250827-2003	bug_^heap-use-after-free	B	id:000000,sig:06,src:000000,time:17264,execs:977,op:quick,pos:244	17264.0
BIC	poppler	1282	3d35d20	250827-2026	bug_^heap-use-after-free	B	id:000000,sig:06,src:000002,time:24655,execs:1128,op:quick,pos:279	24655.0
BIC	poppler	1282	3d35d20	250903-1703	bug_^heap-use-after-free	B	id:000000,sig:06,src:000000,time:2339,execs:340,op:inf,pos:0	2339.0
BIC	poppler	1282	3d35d20	250903-1722	bug_^heap-use-after-free	B	id:000000,sig:06,src:000001,time:3720,execs:524,op:havoc,rep:2	3720.0
BIC	poppler	1282	3d35d20	250903-1746	bug_^heap-use-after-free	B	id:000000,sig:06,src:000000,time:2412,execs:350,op:inf,pos:0	2412.0
BIC	poppler	1282	3d35d20	250903-1809	bug_^heap-use-after-free	B	id:000000,sig:06,src:000000,time:2506,execs:349,op:inf,pos:0	2506.0
BIC	poppler	1282	3d35d20	250903-1837	bug_^heap-use-after-free	B	id:000000,sig:06,src:000004,time:7572,execs:1010,op:quick,pos:240	7572.0
BIC	poppler	1289	3cae777	250827-1940	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	poppler	1289	3cae777	250827-1951	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	poppler	1289	3cae777	250827-2003	bug_^Aborted	B	id:000005,sig:06,src:000002,time:9622,execs:467,op:quick,pos:70	9622.0
BIC	poppler	1289	3cae777	250827-2015	bug_SEGV^SEGV	X	id:000000,sig:11,src:000003,time:7294,execs:367,op:quick,pos:51	7294.0
BIC	poppler	1289	3cae777	250827-2026	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	poppler	1289	3cae777	250903-1703	bug_^Aborted	B	id:000003,sig:06,src:000002,time:4562,execs:607,op:quick,pos:60	4562.0
BIC	poppler	1289	3cae777	250903-1722	bug_^Aborted	B	id:000004,sig:06,src:000002,time:3543,execs:468,op:quick,pos:70	3543.0
BIC	poppler	1289	3cae777	250903-1746	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	poppler	1289	3cae777	250903-1809	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	poppler	1289	3cae777	250903-1837	bug_SEGV^SEGV	X	id:000000,time:0,execs:0,orig:TRIGGER_#1289_3cae777_1_gpt-4o-2024-08-06_bug_SEGV^SEGV	0.0
BIC	jerryscript	5013	b7e3bae	250826-2133	bug_Aborted^Aborted	X	id:000000,sig:06,src:000000,time:77924,execs:21821,op:havoc,rep:1	77924.0
BIC	jerryscript	5013	b7e3bae	250826-2139	bug_stack-overflow^stack-overflow	X	id:000000,sig:06,src:000000,time:1403,execs:549,op:quick,pos:133	1403.0
BIC	jerryscript	5013	b7e3bae	250826-2145	bug_Aborted^Aborted	X	id:000000,sig:06,src:000002,time:136110,execs:36318,op:havoc,rep:2	136110.0
BIC	jerryscript	5013	b7e3bae	250826-2150	bug_^Aborted	B	id:000000,sig:06,src:000001,time:101758,execs:27723,op:havoc,rep:1	101758.0
BIC	jerryscript	5013	b7e3bae	250826-2156	bug_Aborted^Aborted	X	id:000000,sig:06,src:002498+004647,time:12400773,execs:3000184,op:splice,rep:2	12400773.0
BIC	jerryscript	5013	b7e3bae	250903-1708	bug_Aborted^Aborted	X	id:000000,sig:06,src:003762,time:7798294,execs:1595383,op:havoc,rep:4	7798294.0
BIC	jerryscript	5013	b7e3bae	250903-1714	bug_Aborted^Aborted	X	id:000000,sig:06,src:000362,time:588602,execs:150367,op:havoc,rep:1	588602.0
BIC	jerryscript	5013	b7e3bae	250903-1720	bug_Aborted^Aborted	X	id:000000,sig:06,src:000981,time:1605508,execs:354584,op:havoc,rep:4	1605508.0
BIC	jerryscript	5013	b7e3bae	250903-1727	bug_Aborted^Aborted	X	id:000000,sig:06,src:001410,time:1570129,execs:347287,op:havoc,rep:2	1570129.0
BIC	jerryscript	5013	b7e3bae	250903-1733	bug_Aborted^Aborted	X	id:000000,sig:06,src:002219,time:2627166,execs:572313,op:havoc,rep:1	2627166.0
BIC	jerryscript	5117	53b61c1	250826-2133	bug_^Aborted	B	id:000000,sig:06,src:000003,time:2530,execs:879,op:flip1,pos:66	2530.0
BIC	jerryscript	5117	53b61c1	250826-2139	bug_^Aborted	B	id:000000,sig:06,src:000003,time:130378,execs:33674,op:havoc,rep:2	130378.0
BIC	jerryscript	5117	53b61c1	250826-2145	bug_^Aborted	B	id:000000,sig:06,src:000003,time:151426,execs:38626,op:havoc,rep:3	151426.0
BIC	jerryscript	5117	53b61c1	250826-2150	bug_^Aborted	B	id:000000,sig:06,src:000596+000002,time:295913,execs:73159,op:splice,rep:1	295913.0
BIC	jerryscript	5117	53b61c1	250826-2156	bug_^Aborted	B	id:000000,sig:06,src:000003,time:3559,execs:1167,op:flip2,pos:35	3559.0
BIC	jerryscript	5117	53b61c1	250903-1708	bug_^Aborted	B	id:000003,sig:06,src:000205,time:358055,execs:101269,op:quick,pos:47	358055.0
BIC	jerryscript	5117	53b61c1	250903-1714	bug_^Aborted	B	id:000000,sig:06,src:000000,time:20568,execs:10465,op:havoc,rep:1	20568.0
BIC	jerryscript	5117	53b61c1	250903-1720	bug_^Aborted	B	id:000000,sig:06,src:000001,time:28471,execs:12649,op:havoc,rep:1	28471.0
BIC	jerryscript	5117	53b61c1	250903-1727	bug_^Aborted	B	id:000000,sig:06,src:000000,time:9601,execs:4807,op:havoc,rep:2	9601.0
BIC	jerryscript	5117	53b61c1	250903-1733	bug_^Aborted	B	id:000000,sig:06,src:000000,time:14354,execs:6985,op:havoc,rep:2	14354.0
BIC	jerryscript	5138	70e275e	250826-2133	bug_^Aborted	B	id:000000,sig:06,src:000001,time:189502,execs:46835,op:havoc,rep:4	189502.0
BIC	jerryscript	5138	70e275e	250826-2139	bug_^Aborted	B	id:000000,sig:06,src:000003,time:1334,execs:503,op:quick,pos:80	1334.0
BIC	jerryscript	5138	70e275e	250826-2145	bug_^Aborted	B	id:000000,sig:06,src:000000,time:1461,execs:535,op:quick,pos:109	1461.0
BIC	jerryscript	5138	70e275e	250826-2150	bug_^Aborted	B	id:000000,sig:06,src:000004,time:46326,execs:13949,op:havoc,rep:3	46326.0
BIC	jerryscript	5138	70e275e	250826-2156	bug_^Aborted	B	id:000000,sig:06,src:000001,time:1228,execs:442,op:quick,pos:82	1228.0
BIC	jerryscript	5138	70e275e	250903-1708	bug_^Aborted	B	id:000000,sig:06,src:000002,time:705,execs:428,op:quick,pos:82	705.0
BIC	jerryscript	5138	70e275e	250903-1714	bug_^Aborted	B	id:000000,sig:06,src:000000,time:54741,execs:25020,op:havoc,rep:3	54741.0
BIC	jerryscript	5138	70e275e	250903-1720	bug_^Aborted	B	id:000000,sig:06,src:000001,time:2417,execs:1056,op:flip1,pos:53	2417.0
BIC	jerryscript	5138	70e275e	250903-1727	bug_^Aborted	B	id:000000,sig:06,src:001317+001217,time:962052,execs:223246,op:splice,rep:2	962052.0
BIC	jerryscript	5138	70e275e	250903-1733	bug_^Aborted	B	id:000000,sig:06,src:000000,time:727,execs:406,op:quick,pos:81	727.0
BIC	jerryscript	5153	70e275e	250826-2133	bug_^Aborted	B	id:000000,sig:06,src:000001,time:1297,execs:504,op:quick,pos:99	1297.0
BIC	jerryscript	5153	70e275e	250826-2139	bug_^Aborted	B	id:000000,sig:06,src:000000,time:1404,execs:529,op:quick,pos:116	1404.0
BIC	jerryscript	5153	70e275e	250826-2145	bug_^Aborted	B	id:000000,sig:06,src:000002,time:48627,execs:14515,op:havoc,rep:3	48627.0
BIC	jerryscript	5153	70e275e	250826-2150	bug_^Aborted	B	id:000000,sig:06,src:000004,time:2383,execs:811,op:quick,pos:259	2383.0
BIC	jerryscript	5153	70e275e	250826-2156	bug_^Aborted	B	id:000000,sig:06,src:000549+000003,time:485703,execs:118019,op:splice,rep:3	485703.0
BIC	jerryscript	5153	70e275e	250903-1708	bug_^Aborted	B	id:000000,sig:06,src:000000,time:22131,execs:11019,op:havoc,rep:3	22131.0
BIC	jerryscript	5153	70e275e	250903-1714	bug_^Aborted	B	id:000000,sig:06,src:000000,time:758,execs:448,op:quick,pos:86	758.0
BIC	jerryscript	5153	70e275e	250903-1720	bug_^Aborted	B	id:000000,sig:06,src:000003,time:33005,execs:15681,op:havoc,rep:2	33005.0
BIC	jerryscript	5153	70e275e	250903-1727	bug_^Aborted	B	id:000000,sig:06,src:000002,time:675,execs:393,op:quick,pos:80	675.0
BIC	jerryscript	5153	70e275e	250903-1733	bug_^Aborted	B	id:000000,sig:06,src:000001,time:511,execs:296,op:quick,pos:56	511.0
BIC	z3	6914	a62e4b2	250827-1915	none	N	 |	
BIC	z3	6914	a62e4b2	250827-1928	none	N	 |	
BIC	z3	7246	dec87fe	250827-1911	behave	D	id:000884,src:000870+000571,time:6240997,execs:67235,op:splice,rep:3,+cov |	
BIC	z3	7246	dec87fe	250827-1915	behave	D	id:000095,src:000002,time:415155,execs:4065,op:flip2,pos:5 |	
BIC	z3	7246	dec87fe	250827-1920	none	D	id:000114,src:000000,time:443210,execs:4708,op:int32,pos:15,val:+127,+cov |	
BIC	z3	7246	dec87fe	250827-1924	none	D	id:000288,src:000061+000259,time:990937,execs:10227,op:splice,rep:5,+cov |	
BIC	z3	7246	dec87fe	250827-1928	none	D	id:000338,src:000000,time:880067,execs:11065,op:havoc,rep:8,+cov |	
BIC	z3	7246	dec87fe	250903-1707	none	D	id:000151,src:000000,time:425596,execs:4697,op:havoc,rep:8,+cov |	
BIC	z3	7246	dec87fe	250903-1720	none	D	id:000076,src:000000,time:154954,execs:1438,op:flip32,pos:15,+cov |	
BIC	z3	7246	dec87fe	250903-1733	behave	D	id:000005,src:000003,time:1442,execs:48,op:quick,pos:0,+cov |	
BIC	z3	7246	dec87fe	250903-1743	behave	D	id:000076,src:000004,time:71224,execs:3167,op:havoc,rep:2,+cov |	
BIC	z3	7246	dec87fe	250903-1753	behave	D	id:000315,src:000001,time:461668,execs:14801,op:havoc,rep:4,+cov |	
BIC	z3	7252	a7b1db6	250827-1911	none	N	 |	
BIC	z3	7252	a7b1db6	250827-1915	none	N	 |	
BIC	z3	7252	a7b1db6	250827-1920	none	N	 |	
BIC	z3	7252	a7b1db6	250827-1924	none	N	 |	
BIC	z3	7252	a7b1db6	250827-1928	none	N	 |	
BIC	z3	7252	a7b1db6	250903-1733	none	N	 |	
BIC	z3	7252	a7b1db6	250903-1743	none	N	 |	
BIC	z3	7252	a7b1db6	250903-1753	none	N	 |	
BIC	php-src	16777	5cb38e9	250826-2135	none	N	 |	
BIC	php-src	16777	5cb38e9	250826-2141	none	N	 |	
BIC	php-src	16777	5cb38e9	250826-2147	none	N	 |	
BIC	php-src	16777	5cb38e9	250826-2154	none	N	 |	
BIC	php-src	16777	5cb38e9	250826-2201	none	N	 |	
BIC	php-src	16777	5cb38e9	250903-1706	none	N	 |	
BIC	php-src	16777	5cb38e9	250903-1712	none	N	 |	
BIC	php-src	16777	5cb38e9	250903-1720	none	N	 |	
BIC	php-src	16777	5cb38e9	250903-1729	none	N	 |	
BIC	php-src	16777	5cb38e9	250903-1739	none	N	 |	
BIC	php-src	16978	8c704ab	250826-2135	none	D	id:003803,src:001014,time:44095571,execs:531736,op:havoc,rep:2,+cov |	
